param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,mean_train_accuracy,mean_test_accuracy,mean_train_loss,mean_test_loss
gini,20,sqrt,2,200,0.9655077960387695,0.6548672566371682,0.03449220396123054,0.34513274336283184
gini,20,sqrt,2,300,0.9655288664138222,0.6547829751369575,0.034471133586177816,0.3452170248630425
gini,30,log2,2,300,0.9678676780446693,0.6546986936367467,0.03213232195533067,0.3453013063632533
entropy,20,log2,2,300,0.9659081331647703,0.654614412136536,0.03409186683522969,0.34538558786346396
gini,30,sqrt,2,300,0.9678676780446693,0.6546144121365359,0.03213232195533067,0.34538558786346407
entropy,30,sqrt,2,300,0.9678676780446693,0.6543615676359039,0.03213232195533067,0.3456384323640961
entropy,30,log2,2,300,0.9678676780446693,0.6542772861356931,0.03213232195533067,0.34572271386430686
gini,30,sqrt,2,200,0.9678676780446693,0.6539401601348505,0.03213232195533067,0.34605983986514954
gini,30,log2,2,200,0.9678676780446693,0.6534344711335862,0.03213232195533067,0.3465655288664138
entropy,20,log2,2,200,0.9659924146649811,0.6530973451327433,0.03400758533501891,0.3469026548672567
gini,20,sqrt,2,100,0.964833544037084,0.6530973451327433,0.03516645596291601,0.3469026548672567
gini,20,log2,2,300,0.9645174884112937,0.6530130636325326,0.0354825115887063,0.34698693636746736
gini,30,sqrt,5,200,0.9602402022756005,0.652928782132322,0.039759797724399526,0.34707121786767803
entropy,30,sqrt,2,200,0.9678676780446693,0.6527602191319006,0.03213232195533067,0.34723978086809937
entropy,30,log2,2,200,0.9678676780446693,0.6526759376316897,0.03213232195533067,0.34732406236831026
entropy,30,sqrt,5,300,0.962810788032027,0.6525916561314792,0.03718921196797298,0.3474083438685208
entropy,20,sqrt,2,300,0.9670670037926674,0.6525916561314792,0.03293299620733259,0.3474083438685208
entropy,20,sqrt,2,200,0.9668984407922461,0.6525073746312684,0.03310155920775393,0.3474926253687316
gini,20,log2,5,300,0.9448166877370416,0.6522545301306364,0.05518331226295836,0.3477454698693636
gini,20,log2,2,200,0.9646017699115044,0.6520016856300043,0.03539823008849563,0.34799831436999573
gini,30,sqrt,5,300,0.9608301727770755,0.6519174041297935,0.0391698272229245,0.3480825958702065
entropy,20,sqrt,5,300,0.9575221238938052,0.6518331226295828,0.0424778761061948,0.3481668773704172
entropy,30,sqrt,5,200,0.9621154656552887,0.6518331226295828,0.037884534344711285,0.3481668773704172
entropy,10,sqrt,10,300,0.7581963758954909,0.6518331226295827,0.24180362410450906,0.3481668773704173
entropy,30,log2,5,200,0.9591024020227561,0.6517488411293721,0.040897597977243905,0.34825115887062785
entropy,20,log2,5,200,0.9502949852507374,0.6515802781289507,0.04970501474926259,0.3484197218710493
gini,30,log2,5,300,0.9572692793931733,0.6515802781289507,0.0427307206068267,0.3484197218710493
gini,20,sqrt,10,300,0.9038769490096923,0.65149599662874,0.09612305099030771,0.34850400337126
gini,10,sqrt,10,300,0.7570796460176992,0.6514959966287399,0.24292035398230083,0.3485040033712601
gini,30,log2,2,100,0.9678044669195112,0.6514959966287399,0.032195533080488836,0.3485040033712601
entropy,30,log2,5,300,0.9595448798988622,0.6513274336283186,0.04045512010113783,0.3486725663716814
entropy,10,sqrt,10,200,0.7582806573957017,0.6513274336283186,0.24171934260429828,0.3486725663716814
entropy,30,sqrt,2,100,0.9677833965444584,0.6512431521281079,0.03221660345554156,0.3487568478718921
gini,20,sqrt,10,200,0.9032659081331648,0.6512431521281078,0.09673409186683524,0.3487568478718922
gini,20,sqrt,5,300,0.9505478297513695,0.6510745891276863,0.04945217024863047,0.34892541087231366
gini,30,sqrt,5,100,0.9587442056468605,0.6509903076274758,0.04125579435313953,0.3490096923725242
entropy,10,sqrt,10,100,0.7574378423935946,0.650906026127265,0.24256215760640543,0.349093973872735
gini,20,log2,5,200,0.9439106616097768,0.650906026127265,0.05608933839022323,0.349093973872735
entropy,20,sqrt,2,100,0.9663084702907712,0.650906026127265,0.03369152970922884,0.349093973872735
entropy,20,sqrt,5,200,0.9569321533923304,0.6508217446270544,0.0430678466076696,0.34917825537294556
entropy,20,log2,5,300,0.9508638853771597,0.6508217446270543,0.04913611462284029,0.34917825537294567
gini,10,sqrt,2,300,0.7786978508217446,0.6506531816266329,0.22130214917825541,0.3493468183733671
gini,10,sqrt,2,200,0.7787189211967972,0.6505689001264223,0.2212810788032028,0.3494310998735777
gini,30,sqrt,2,100,0.9678044669195112,0.6504003371260009,0.032195533080488836,0.34959966287399913
gini,10,sqrt,10,200,0.7568689422671724,0.6503160556257902,0.24313105773282762,0.3496839443742098
entropy,10,sqrt,5,300,0.7733881163084703,0.6502317741255794,0.22661188369152974,0.3497682258744206
entropy,10,sqrt,2,200,0.7831858407079645,0.6501474926253688,0.2168141592920355,0.34985250737463125
gini,20,sqrt,5,200,0.9503371260008429,0.6498946481247365,0.04966287399915714,0.3501053518752635
gini,20,log2,10,300,0.8937842393594606,0.649810366624526,0.10621576064053939,0.35018963337547404
entropy,20,sqrt,5,100,0.955204382638011,0.6497260851243152,0.044795617361989004,0.3502739148756848
entropy,10,sqrt,2,100,0.7821955330804888,0.6497260851243152,0.21780446691951116,0.3502739148756848
gini,20,log2,10,200,0.8926885798567215,0.6497260851243152,0.10731142014327855,0.3502739148756848
entropy,10,sqrt,5,100,0.7717656974294143,0.6496418036241044,0.22823430257058575,0.3503581963758956
entropy,20,log2,5,100,0.9488411293721029,0.6495575221238938,0.051158870627897146,0.35044247787610616
gini,20,log2,2,100,0.9639064475347661,0.6494732406236832,0.036093552465233936,0.35052675937631683
gini,30,sqrt,10,200,0.91228402865571,0.6494732406236831,0.08771597134428999,0.35052675937631694
entropy,30,log2,5,100,0.9572482090181206,0.6494732406236831,0.04275179098187942,0.35052675937631694
entropy,30,log2,2,100,0.9678044669195112,0.6493889591234724,0.032195533080488836,0.3506110408765276
entropy,10,sqrt,5,200,0.773535608933839,0.6493046776232617,0.226464391066161,0.3506953223767383
gini,10,sqrt,5,200,0.7713653603034134,0.6493046776232617,0.2286346396965866,0.3506953223767383
entropy,20,log2,2,100,0.9652128107880319,0.6493046776232617,0.034787189211968106,0.3506953223767383
gini,30,sqrt,10,300,0.9139485882848714,0.6490518331226296,0.08605141171512865,0.3509481668773704
gini,20,sqrt,5,100,0.9479561736198905,0.6490518331226296,0.052043826380109515,0.3509481668773704
gini,30,log2,5,200,0.9569742941424358,0.6490518331226296,0.043025705857564156,0.3509481668773704
entropy,20,sqrt,10,200,0.9089338390223345,0.6489675516224189,0.09106616097766551,0.3510324483775811
gini,10,sqrt,5,100,0.7690265486725665,0.6489675516224189,0.23097345132743352,0.3510324483775811
entropy,20,sqrt,10,300,0.9088916982722293,0.6489675516224189,0.09110830172777074,0.3510324483775811
gini,10,sqrt,5,300,0.770417193426043,0.6488832701222081,0.22958280657395702,0.35111672987779186
gini,20,sqrt,10,100,0.901875263379688,0.6488832701222081,0.09812473662031196,0.35111672987779186
gini,10,sqrt,10,100,0.7568478718921197,0.6484618626211547,0.24315212810788034,0.3515381373788453
entropy,30,sqrt,10,200,0.9157184997892962,0.648377581120944,0.0842815002107038,0.351622418879056
entropy,20,log2,10,300,0.8978297513695743,0.6482932996207332,0.10217024863042568,0.35170670037926677
entropy,30,sqrt,10,300,0.9159292035398231,0.6482090181205226,0.0840707964601769,0.35179098187947744
entropy,10,log2,2,300,0.7673619890434049,0.6481247366203118,0.2326380109565951,0.3518752633796882
gini,20,log2,10,100,0.8916772018541931,0.6481247366203118,0.10832279814580692,0.3518752633796882
entropy,30,sqrt,5,100,0.9603876949009693,0.6479561736198904,0.03961230509903069,0.35204382638010956
gini,30,log2,10,300,0.9036451748841129,0.6478718921196798,0.09635482511588711,0.35212810788032023
entropy,10,sqrt,2,300,0.7826590813316476,0.6478718921196797,0.21734091866835237,0.35212810788032034
entropy,20,sqrt,10,100,0.9074799831436999,0.6477033291192582,0.09252001685630007,0.3522966708807418
entropy,30,log2,10,300,0.9051622418879056,0.6476190476190476,0.09483775811209438,0.35238095238095235
gini,30,log2,10,200,0.9035608933839022,0.6474504846186262,0.09643910661609778,0.3525495153813738
entropy,20,log2,10,200,0.8964180362410451,0.6473662031184155,0.1035819637589549,0.35263379688158447
gini,30,sqrt,10,100,0.9112094395280236,0.6473662031184155,0.08879056047197642,0.35263379688158447
entropy,30,log2,10,200,0.9041930046354825,0.6472819216182049,0.09580699536451753,0.35271807838179514
gini,10,sqrt,2,100,0.7773914875684786,0.6471976401179942,0.22260851243152135,0.3528023598820058
gini,20,log2,5,100,0.9423725242309313,0.6471133586177833,0.05762747576906868,0.3528866413822167
entropy,10,log2,2,200,0.7678676780446692,0.6467762326169406,0.23213232195533084,0.3532237673830594
gini,30,log2,5,100,0.9549304677623262,0.64669195111673,0.04506953223767385,0.35330804888327005
gini,10,log2,5,300,0.7558786346396966,0.6465233881163085,0.24412136536030338,0.3534766118836915
gini,10,log2,2,200,0.7639485882848714,0.646354825115887,0.23605141171512856,0.35364517488411296
entropy,10,log2,5,200,0.758912768647282,0.6462705436156764,0.24108723135271803,0.3537294563843236
entropy,10,log2,2,100,0.7684787189211968,0.6459334176148335,0.2315212810788032,0.35406658238516653
gini,10,log2,5,200,0.7554782975136958,0.6458491361146229,0.24452170248630423,0.3541508638853771
entropy,30,log2,10,100,0.9028866413822166,0.6458491361146228,0.09711335861778336,0.3541508638853772
entropy,20,log2,10,100,0.8957437842393594,0.6457648546144121,0.10425621576064059,0.35423514538558787
gini,30,log2,10,100,0.9019595448798988,0.6455962916139908,0.09804045512010118,0.3544037083860092
entropy,30,sqrt,10,100,0.9140539401601349,0.6455962916139907,0.08594605983986514,0.3544037083860093
gini,10,log2,10,100,0.7438474504846186,0.6455120101137801,0.25615254951538136,0.3544879898862199
gini,10,log2,10,200,0.7448798988621997,0.6455120101137801,0.25512010113780026,0.3544879898862199
gini,10,log2,2,300,0.7645385587863464,0.64551201011378,0.23546144121365364,0.35448798988622
entropy,10,log2,10,300,0.7438685208596713,0.6453434471133586,0.25613147914032874,0.35465655288664144
gini,10,log2,10,300,0.7442899283607247,0.6451748841129372,0.2557100716392753,0.3548251158870628
entropy,10,log2,10,200,0.7452380952380951,0.644416350611041,0.25476190476190486,0.35558364938895903
entropy,10,log2,5,300,0.7591445427728614,0.6444163506110409,0.24085545722713864,0.35558364938895914
entropy,10,log2,10,100,0.745575221238938,0.6439949431099874,0.25442477876106195,0.3560050568900126
gini,10,log2,5,100,0.7563632532659081,0.6437420986093553,0.24363674673409186,0.3562579013906447
gini,10,log2,2,100,0.7636114622840287,0.6436578171091445,0.23638853771597135,0.3563421828908555
entropy,10,log2,5,100,0.7585967130214917,0.6433206911083017,0.24140328697850832,0.3566793088916983
